 GW30948_IN	GW30948_OS	GW30948_OUT	GW30951_IN	GW30951_OS	GW30951_OUT	GW30956_IN	GW30956_OS	GW30956_OUT	GW30957_IN	GW30957_OS	GW30957_OUT	GW30959_IN	GW30959_OS	GW30959_OUT
scig1.0069958	1	0	0	0	1	0	0	1	0	0	0	3	0	0	2
scig1.0069804	0	0	0	1	3	2	0	0	0	3	3	3	2	1	3
scig1.0069734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069646	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1
scig1.0069592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069262	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
scig1.0069252	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0069123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069112	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
scig1.0069063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069053	5	0	5	0	0	3	0	0	10	0	2	8	0	0	0
scig1.0069039	79	27	23	89	43	108	48	29	66	31	34	38	21	17	33
scig1.0068972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068536	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
scig1.0068514	1	5	1	1	13	10	4	19	8	2	18	3	2	5	2
scig1.0068456	1	1	1	2	0	0	1	1	1	1	2	0	1	0	2
scig1.0068453	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0068375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068355	36	40	15	54	46	106	45	36	51	30	29	50	33	14	21
scig1.0068288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0068112	1	0	0	0	0	0	0	0	1	3	0	0	0	1	2
scig1.0068048	0	0	0	0	1	1	0	0	0	4	0	0	0	1	0
scig1.0068006	8	28	5	30	64	52	24	60	32	13	30	23	33	52	29
scig1.0067975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067893	0	0	1	2	1	0	1	0	1	0	0	2	0	0	0
scig1.0067873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0067841	8	16	2	11	1	24	5	7	16	2	5	11	4	1	2
